loan_status,loan_status_numeric,loan_amnt,issue_d,term,int_rate,installment,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,title,purpose,emp_title,emp_length,home_ownership,annual_inc,verification_status,acc_now_delinq,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,tot_coll_amt,tot_cur_bal,total_acc,total_rev_hi_lim,dti,grade,sub_grade
Current,5,11200,2016-12-01, 60 months,15.99,272.31,7060.16,3794.23,3265.93,0.0,Debt consolidation,debt_consolidation,Sale Associate,10+ years,RENT,50000.0,Verified,0.0,0.0,2003-05-01,0.0,,,14.0,0.0,10629,49.9,0.0,195415.0,39.0,21300.0,29.21,C,C5
Fully Paid,6,10000,2018-08-01, 36 months,10.08,323.05,10396.1370314859,10000.0,396.14,0.0,Medical expenses,medical,Speech Therapist,8 years,MORTGAGE,90000.0,Source Verified,0.0,0.0,2006-10-01,1.0,,99.0,12.0,1.0,15896,40.8,0.0,79717.0,18.0,39000.0,15.93,B,B1
Current,5,15000,2018-03-01, 36 months,6.72,461.24,5490.08,4668.94,821.14,0.0,Credit card refinancing,credit_card,RN,5 years,MORTGAGE,53000.0,Source Verified,0.0,0.0,2005-06-01,1.0,40.0,,17.0,0.0,12109,45.1,0.0,281234.0,26.0,27400.0,27.31,A,A3
Current,5,40000,2018-11-01, 36 months,7.56,1245.36,3694.08,2998.89,695.19,0.0,Debt consolidation,debt_consolidation,Judge,10+ years,MORTGAGE,158000.0,Source Verified,0.0,0.0,1979-04-01,0.0,79.0,,15.0,0.0,80780,41.3,0.0,393620.0,39.0,126500.0,28.9,A,A3
Fully Paid,6,28000,2016-07-01, 60 months,13.99,651.37,31845.3012644975,28000.0,3845.3,0.0,Debt consolidation,debt_consolidation,Railroad conductor ,10+ years,MORTGAGE,95000.0,Not Verified,0.0,0.0,2005-01-01,0.0,,,14.0,0.0,19145,47.2,0.0,217639.0,34.0,40600.0,23.55,C,C3
Current,5,25000,2018-03-01, 36 months,9.92,805.75,8849.47,6869.17,1980.3,0.0,Debt consolidation,debt_consolidation,Bookkeeping Assistant,4 years,OWN,60000.0,Source Verified,0.0,0.0,1970-07-01,1.0,,,12.0,0.0,18157,38.1,0.0,36765.0,20.0,47600.0,23.77,B,B2
Fully Paid,6,15000,2016-09-01, 36 months,8.99,476.93,16183.802643911598,15000.0,1183.8,0.0,Home improvement,home_improvement,Registered Nurse,10+ years,MORTGAGE,110000.0,Verified,0.0,0.0,2001-01-01,0.0,53.0,,14.0,0.0,24570,50.7,0.0,304194.0,30.0,48500.0,32.41,B,B1
Charged Off,0,7200,2016-06-01, 36 months,8.39,226.92,6120.13,5227.34,892.79,0.0,Credit card refinancing,credit_card,Area Program Specialist,10+ years,MORTGAGE,65000.0,Source Verified,0.0,0.0,2000-08-01,0.0,,,13.0,0.0,32579,77.6,0.0,64418.0,18.0,42000.0,15.71,B,B1
Charged Off,0,5400,2016-06-01, 36 months,11.49,178.05,3754.55,2923.37,831.18,0.0,Car financing,car,,,MORTGAGE,33000.0,Verified,0.0,0.0,1998-09-01,0.0,,,8.0,0.0,7512,37.9,2647.0,130965.0,12.0,19800.0,9.53,B,B5
Current,5,15000,2016-03-01, 60 months,21.97,414.03,16072.74,9514.75,6557.99,0.0,Other,other,Registered Nurse,5 years,RENT,63000.0,Source Verified,0.0,0.0,2007-08-01,0.0,54.0,,26.0,0.0,11586,78.8,0.0,88800.0,40.0,14700.0,24.23,E,E4
Charged Off,0,20000,2017-11-01, 60 months,15.05,476.33,1863.51,919.1,944.41,0.0,Debt consolidation,debt_consolidation,Lab technician ,3 years,MORTGAGE,58000.0,Verified,0.0,1.0,2007-07-01,1.0,16.0,,6.0,0.0,556,3.8,0.0,262424.0,23.0,14600.0,17.32,C,C4
Current,5,5000,2016-12-01, 36 months,8.24,157.24,4085.95,3485.54,600.41,0.0,Major purchase,major_purchase,Quality Auditor,3 years,OWN,50000.0,Source Verified,0.0,0.0,2007-10-01,0.0,,,11.0,0.0,18820,74.7,0.0,29660.0,12.0,25200.0,23.88,B,B1
Fully Paid,6,28000,2016-09-01, 36 months,10.99,916.56,29829.802215537202,28000.0,1829.8,0.0,Credit card refinancing,credit_card,Well site leader,3 years,MORTGAGE,180000.0,Not Verified,0.0,0.0,2003-09-01,2.0,,,14.0,0.0,42954,58.5,0.0,382992.0,57.0,73400.0,19.02,B,B4
Late (16-30 days),3,21325,2016-03-01, 36 months,17.27,763.17,23629.92,17055.16,6498.44,76.32,Debt consolidation,debt_consolidation,Office manager,10+ years,RENT,48500.0,Not Verified,0.0,0.0,2006-01-01,0.0,,,18.0,0.0,29763,60.4,0.0,29763.0,22.0,49300.0,23.24,D,D2
Fully Paid,6,5000,2017-07-01, 36 months,11.99,166.05,5288.7791276045,5000.0,288.78,0.0,Credit card refinancing,credit_card,shuttle driver,4 years,MORTGAGE,27730.0,Source Verified,0.0,0.0,1998-10-01,0.0,,42.0,5.0,1.0,4519,68.5,0.0,24557.0,10.0,6600.0,6.75,B,B5
Current,5,12000,2017-10-01, 60 months,13.59,276.68,4404.23,2454.29,1949.94,0.0,Debt consolidation,debt_consolidation,sales,10+ years,MORTGAGE,62000.0,Source Verified,0.0,0.0,1999-04-01,1.0,24.0,,24.0,0.0,8439,15.4,0.0,30468.0,37.0,54800.0,7.41,C,C2
Current,5,12000,2016-05-01, 60 months,21.97,331.23,10915.94,4992.42,5923.52,0.0,Home improvement,home_improvement,SR HR Assistant,10+ years,OWN,72000.0,Verified,0.0,0.0,2001-07-01,1.0,54.0,,14.0,0.0,24243,94.3,0.0,228847.0,27.0,25700.0,38.18,E,E4
Current,5,40000,2018-01-01, 60 months,11.99,889.58,11431.33,6765.04,4666.29,0.0,Debt consolidation,debt_consolidation,Nursing,2 years,MORTGAGE,200000.0,Source Verified,0.0,0.0,2004-09-01,1.0,,,14.0,0.0,25883,48.7,0.0,181791.0,23.0,53100.0,11.93,B,B5
Current,5,35000,2017-04-01, 60 months,13.49,805.17,17687.51,10211.38,7476.13,0.0,Credit card refinancing,credit_card,Bureau Director,10+ years,MORTGAGE,136000.0,Verified,0.0,0.0,1980-07-01,2.0,71.0,,32.0,0.0,64846,70.9,0.0,229201.0,63.0,91400.0,32.29,C,C2
Current,5,11000,2018-12-01, 60 months,11.8,243.58,469.13,272.16,196.97,0.0,Credit card refinancing,credit_card,Assosicate,3 years,RENT,42000.0,Source Verified,0.0,0.0,2012-06-01,0.0,30.0,,8.0,0.0,5992,23.0,0.0,20926.0,9.0,26000.0,15.91,B,B4
Current,5,36000,2016-08-01, 36 months,7.59,1121.32,33624.42,29418.83,4205.59,0.0,Major purchase,major_purchase,Physician Assistant,10+ years,MORTGAGE,240000.0,Verified,0.0,0.0,1993-09-01,1.0,68.0,49.0,9.0,1.0,38157,26.3,0.0,274899.0,19.0,122200.0,9.96,A,A3
Current,5,12000,2018-08-01, 36 months,15.02,416.11,2486.65,1646.23,840.42,0.0,Home improvement,home_improvement,DRIVER,10+ years,MORTGAGE,95000.0,Source Verified,0.0,0.0,1995-02-01,0.0,,,18.0,0.0,55744,80.0,0.0,297830.0,34.0,69700.0,36.76,C,C3
Current,5,40000,2018-05-01, 60 months,14.52,941.55,8441.68,4322.99,4118.69,0.0,Medical expenses,medical,Registered Nurse Case Manager,< 1 year,RENT,160000.0,Source Verified,0.0,0.0,2003-08-01,1.0,,,27.0,0.0,27859,30.4,0.0,152724.0,41.0,91500.0,19.43,C,C3
Fully Paid,6,6000,2016-12-01, 36 months,12.74,201.42,6438.733977925601,6000.0,438.73,0.0,Debt consolidation,debt_consolidation,Hub engineer,10+ years,RENT,120000.0,Source Verified,0.0,0.0,2005-03-01,0.0,44.0,,10.0,0.0,19579,75.9,0.0,74076.0,21.0,25800.0,17.97,C,C1
Fully Paid,6,15000,2016-03-01, 36 months,8.39,472.75,16413.551740968,15000.0,1413.55,0.0,Debt consolidation,debt_consolidation,machinist,2 years,MORTGAGE,67000.0,Source Verified,0.0,1.0,2000-05-01,0.0,11.0,,17.0,0.0,4552,7.8,2223.0,133690.0,25.0,58600.0,22.08,B,B1
Charged Off,0,12000,2016-11-01, 36 months,15.99,421.83,8508.4,5286.51,2295.77,0.0,Home improvement,home_improvement,Instrumentation ,1 year,MORTGAGE,130000.0,Source Verified,0.0,1.0,2012-02-01,2.0,16.0,,14.0,0.0,6654,42.4,0.0,78597.0,17.0,15700.0,14.1,C,C5
Current,5,35000,2016-06-01, 36 months,13.99,1196.05,38278.99,30315.92,7903.27,59.8,Home improvement,home_improvement,Director of research,4 years,MORTGAGE,400000.0,Source Verified,0.0,5.0,1986-10-01,0.0,11.0,,12.0,0.0,35842,74.8,0.0,1436271.0,30.0,47900.0,10.7,C,C3
Charged Off,0,5600,2017-11-01, 36 months,17.09,199.91,1798.23,1145.11,653.12,0.0,Other,other,Administrative assistant ,< 1 year,RENT,43000.0,Source Verified,0.0,0.0,2003-05-01,0.0,,79.0,14.0,1.0,15569,58.1,0.0,18319.0,21.0,26800.0,24.76,D,D1
Current,5,12500,2018-10-01, 60 months,11.06,272.16,1080.96,636.54,444.42,0.0,Credit card refinancing,credit_card,inside sales,4 years,RENT,37200.0,Source Verified,0.0,0.0,2004-01-01,3.0,78.0,,10.0,0.0,12531,46.6,0.0,22798.0,21.0,26900.0,20.16,B,B3
Current,5,12000,2018-10-01, 36 months,7.84,375.16,1495.41,1198.72,296.69,0.0,Debt consolidation,debt_consolidation,Account Executive,5 years,RENT,110000.0,Source Verified,0.0,0.0,2011-02-01,1.0,,111.0,14.0,1.0,2366,9.2,0.0,26629.0,21.0,25800.0,9.08,A,A4
Current,5,24000,2016-05-01, 60 months,15.31,574.88,18923.97,10939.95,7984.02,0.0,Other,other,Senior production tech,10+ years,RENT,54000.0,Verified,0.0,0.0,2001-05-01,0.0,61.0,,15.0,0.0,21399,47.0,0.0,44243.0,21.0,45500.0,22.51,C,C5
Fully Paid,6,10000,2016-02-01, 60 months,19.53,262.34,10308.42,10000.0,308.42,0.0,Home improvement,home_improvement,Director,1 year,RENT,151000.0,Verified,0.0,0.0,1999-10-01,2.0,55.0,75.0,13.0,1.0,13449,28.1,0.0,87778.0,38.0,47800.0,8.16,D,D5
Current,5,4600,2017-11-01, 36 months,11.99,152.77,2283.89,1719.18,564.71,0.0,Credit card refinancing,credit_card,Production,4 years,RENT,27000.0,Source Verified,0.0,0.0,2014-06-01,1.0,,,6.0,0.0,1515,14.6,0.0,15928.0,7.0,10400.0,23.69,B,B5
Current,5,24000,2018-01-01, 60 months,20.0,635.86,8239.51,3392.34,4847.17,0.0,Credit card refinancing,credit_card,Director of Engineering,5 years,RENT,240000.0,Source Verified,0.0,0.0,1994-09-01,1.0,,,23.0,0.0,95555,83.6,0.0,113518.0,40.0,114300.0,21.45,D,D4
Current,5,16000,2018-11-01, 36 months,11.31,526.18,1568.49,1136.79,431.7,0.0,Debt consolidation,debt_consolidation,Human Resources,10+ years,MORTGAGE,100000.0,Not Verified,0.0,0.0,1999-09-01,0.0,,,10.0,0.0,8661,12.3,0.0,226317.0,41.0,70200.0,28.55,B,B3
Current,5,30000,2018-06-01, 60 months,10.56,645.71,5148.08,3149.41,1998.67,0.0,Debt consolidation,debt_consolidation,Physician,3 years,MORTGAGE,360000.0,Source Verified,0.0,0.0,2005-07-01,0.0,,,35.0,0.0,19666,52.6,0.0,812053.0,62.0,37400.0,13.77,B,B3
Current,5,12000,2017-07-01, 36 months,5.32,361.38,6862.67,6095.03,767.64,0.0,Debt consolidation,debt_consolidation,Bio Med technician,10+ years,MORTGAGE,76000.0,Not Verified,0.0,0.0,1996-05-01,0.0,,,12.0,0.0,14920,19.9,0.0,54908.0,19.0,75100.0,9.87,A,A1
Fully Paid,6,10000,2017-12-01, 36 months,6.08,304.59,10485.956966420401,10000.0,485.96,0.0,Debt consolidation,debt_consolidation,Owner,10+ years,MORTGAGE,91000.0,Not Verified,0.0,0.0,2003-02-01,0.0,,,26.0,0.0,9003,13.4,0.0,120397.0,39.0,67400.0,34.3,A,A2
Current,5,35000,2016-02-01, 60 months,19.99,927.1,33336.73,16783.21,16553.52,0.0,Major purchase,major_purchase,Mechanical Technician,8 years,OWN,87000.0,Source Verified,0.0,2.0,1999-10-01,0.0,10.0,,7.0,0.0,13191,65.0,0.0,19554.0,18.0,20300.0,11.54,E,E1
Charged Off,0,16000,2016-11-01, 60 months,26.24,481.33,3372.32,265.8,1154.87,0.0,Debt consolidation,debt_consolidation,owner,10+ years,MORTGAGE,135000.0,Source Verified,0.0,2.0,1994-05-01,1.0,9.0,,12.0,0.0,6628,55.7,0.0,90648.0,25.0,11900.0,18.54,E,E5
Current,5,28000,2018-02-01, 60 months,20.39,747.92,8911.6,3589.01,5322.59,0.0,Debt consolidation,debt_consolidation,Territorial Sales Manager,7 years,RENT,47500.0,Verified,0.0,0.0,2011-01-01,3.0,,103.0,21.0,1.0,16807,42.2,0.0,40856.0,39.0,39800.0,30.17,D,D4
Current,5,20000,2017-07-01, 36 months,10.91,653.93,11819.24,9187.4,2631.84,0.0,Debt consolidation,debt_consolidation,Engineer II - Sales,< 1 year,RENT,80000.0,Source Verified,0.0,0.0,2012-09-01,1.0,,,10.0,0.0,23069,36.0,0.0,37860.0,10.0,64000.0,16.18,B,B4
Current,5,14000,2016-04-01, 60 months,21.18,380.17,12932.81,6127.9,6804.91,0.0,Debt consolidation,debt_consolidation,Power Plant Tech.,2 years,MORTGAGE,55900.0,Verified,0.0,0.0,2007-03-01,2.0,,,4.0,0.0,4824,96.0,0.0,40927.0,9.0,5000.0,16.32,E,E3
Charged Off,0,10000,2017-02-01, 36 months,11.49,329.72,4035.26,2188.21,766.5,0.0,Debt consolidation,debt_consolidation,Maintenance  tech,4 years,OWN,75000.0,Source Verified,0.0,0.0,2000-09-01,1.0,55.0,,10.0,0.0,8917,53.1,2154.0,61147.0,31.0,16800.0,13.36,B,B5
Current,5,20000,2017-05-01, 60 months,19.03,519.15,10881.01,4986.96,5894.05,0.0,Debt consolidation,debt_consolidation,Supervisor,8 years,RENT,76000.0,Verified,0.0,0.0,2010-11-01,0.0,,,6.0,0.0,11154,92.2,0.0,23907.0,14.0,12100.0,16.53,D,D3
Current,5,18000,2018-06-01, 60 months,12.13,401.59,3200.59,1820.56,1380.03,0.0,Credit card refinancing,credit_card,HR Director,9 years,MORTGAGE,90000.0,Verified,0.0,0.0,1994-08-01,2.0,,,11.0,0.0,4936,22.0,0.0,205460.0,17.0,22400.0,18.2,B,B5
Current,5,8000,2017-02-01, 36 months,11.49,263.78,6325.61,5023.53,1302.08,0.0,Home improvement,home_improvement,Operation supervisor,10+ years,MORTGAGE,57035.32,Source Verified,0.0,0.0,2002-04-01,0.0,36.0,,13.0,0.0,21688,71.6,0.0,47313.0,19.0,30300.0,30.45,B,B5
Current,5,11000,2018-07-01, 60 months,17.97,279.15,1943.07,837.87,1105.2,0.0,Debt consolidation,debt_consolidation,Measurement Engineer,4 years,RENT,75000.0,Source Verified,0.0,1.0,2009-11-01,0.0,5.0,,13.0,0.0,6259,22.6,0.0,63848.0,23.0,27700.0,19.49,D,D1
Current,5,10000,2016-10-01, 36 months,10.99,327.34,9175.78,7482.68,1676.73,16.37,Debt consolidation,debt_consolidation,Office clerk ,2 years,RENT,45000.0,Not Verified,0.0,1.0,2010-12-01,0.0,22.0,9.0,8.0,2.0,5790,56.2,0.0,9096.0,13.0,10300.0,21.92,B,B4
Current,5,16500,2017-07-01, 60 months,23.88,473.53,8953.29,3312.88,5640.41,0.0,Debt consolidation,debt_consolidation,DEQ/VIP Inspector,6 years,RENT,36675.0,Verified,0.0,0.0,1992-10-01,1.0,,60.0,11.0,2.0,9702,50.0,0.0,24185.0,18.0,19250.0,31.22,E,E2
Charged Off,0,19750,2016-05-01, 36 months,25.11,786.41,19542.98,12090.27,7452.71,0.0,Debt consolidation,debt_consolidation,Vehicle Operator,7 years,OWN,52000.0,Verified,0.0,0.0,2011-09-01,1.0,29.0,,15.0,0.0,10800,60.0,0.0,43138.0,16.0,18000.0,23.68,F,F1
Current,5,10000,2016-11-01, 36 months,13.99,341.73,9215.05,7096.4,2118.65,0.0,Debt consolidation,debt_consolidation,Teacher,10+ years,RENT,60150.0,Verified,0.0,0.0,2006-07-01,0.0,,,13.0,0.0,36278,73.3,0.0,52719.0,19.0,49500.0,31.92,C,C3
Current,5,10075,2018-07-01, 36 months,9.58,323.11,2563.44,1996.55,566.89,0.0,Home improvement,home_improvement,Conf. Specialist,9 years,OWN,108645.0,Not Verified,0.0,0.0,1987-03-01,0.0,45.0,,11.0,0.0,9932,22.1,416.0,323260.0,26.0,46700.0,18.55,B,B1
Current,5,17000,2018-06-01, 36 months,15.49,593.4,4732.57,3130.37,1602.2,0.0,Credit card refinancing,credit_card,Investigator,2 years,RENT,33000.0,Source Verified,0.0,0.0,2002-08-01,0.0,42.0,,6.0,0.0,19557,85.4,0.0,27431.0,14.0,22900.0,28.47,C,C4
Current,5,36000,2017-12-01, 60 months,15.05,857.39,11973.36,6169.76,5803.6,0.0,Major purchase,major_purchase,Network Mantenance Supervisor,10+ years,MORTGAGE,65000.0,Verified,0.0,0.0,2008-09-01,0.0,,,8.0,0.0,7493,50.0,0.0,211313.0,14.0,15000.0,22.68,C,C4
Current,5,2150,2016-03-01, 36 months,11.99,71.41,2496.49,2079.7,416.79,0.0,Debt consolidation,debt_consolidation,Teacher,10+ years,MORTGAGE,75000.0,Not Verified,0.0,4.0,1998-11-01,1.0,7.0,,18.0,0.0,3166,38.8,0.0,510635.0,36.0,8000.0,22.4,C,C1
Current,5,11275,2018-06-01, 60 months,26.77,342.74,2708.38,789.3,1919.08,0.0,Debt consolidation,debt_consolidation,general warehouse,10+ years,MORTGAGE,45968.0,Source Verified,0.0,0.0,2008-02-01,0.0,,,10.0,0.0,4843,40.0,0.0,188296.0,21.0,12100.0,30.7,E,E5
Fully Paid,6,4000,2016-06-01, 36 months,11.99,132.84,4456.2276470874,4000.0,456.23,0.0,Major purchase,major_purchase,Baker,2 years,RENT,20000.0,Source Verified,0.0,0.0,2012-02-01,0.0,,,6.0,0.0,2776,55.5,0.0,60936.0,6.0,5000.0,20.23,C,C1
Late (31-120 days),2,10000,2018-10-01, 36 months,14.47,344.07,680.1,449.67,230.43,0.0,Debt consolidation,debt_consolidation,Owner,10+ years,OWN,60000.0,Not Verified,0.0,0.0,1996-09-01,0.0,65.0,,7.0,0.0,6577,65.8,0.0,10862.0,14.0,10000.0,23.96,C,C2
Current,5,21625,2018-03-01, 36 months,6.71,664.86,8163.84,6996.65,1167.19,0.0,Debt consolidation,debt_consolidation,Quality Assurance Analyst,5 years,MORTGAGE,52000.0,Source Verified,0.0,0.0,1992-05-01,0.0,,,19.0,0.0,15920,21.7,0.0,175968.0,27.0,73400.0,15.43,A,A3
Current,5,14400,2016-08-01, 36 months,8.99,457.85,13719.16,11720.43,1998.73,0.0,,debt_consolidation,Teacher,10+ years,MORTGAGE,70000.0,Source Verified,0.0,0.0,1976-05-01,0.0,81.0,68.0,12.0,1.0,7645,40.7,304.0,51776.0,35.0,18800.0,19.15,B,B1
Charged Off,0,16000,2016-07-01, 36 months,18.99,586.42,1767.17,1015.56,751.61,0.0,Debt consolidation,debt_consolidation,Business Manager,10+ years,MORTGAGE,144000.0,Source Verified,0.0,0.0,1999-06-01,2.0,,95.0,11.0,1.0,16418,44.8,0.0,182461.0,23.0,32700.0,19.51,D,D3
Current,5,27900,2018-07-01, 60 months,7.46,558.53,3919.67,2746.4,1173.27,0.0,Credit card refinancing,credit_card,QA Compliance Coordinator,2 years,RENT,61176.0,Source Verified,0.0,0.0,2007-10-01,0.0,,,16.0,0.0,25786,73.0,0.0,50929.0,26.0,35300.0,17.18,A,A4
Current,5,15000,2018-10-01, 60 months,12.73,339.23,1446.31,834.53,611.78,0.0,Debt consolidation,debt_consolidation,Lab scientist,3 years,RENT,80000.0,Source Verified,0.0,0.0,2014-10-01,1.0,33.0,,9.0,0.0,14860,48.4,0.0,57090.0,13.0,30700.0,14.88,B,B5
Current,5,14000,2017-10-01, 36 months,9.44,448.07,7114.06,5738.02,1376.04,0.0,Debt consolidation,debt_consolidation,Site Lead,< 1 year,MORTGAGE,15000.0,Source Verified,0.0,0.0,2005-12-01,0.0,53.0,,7.0,0.0,6139,69.0,185.0,121791.0,14.0,8900.0,51.28,B,B1
Current,5,9900,2018-04-01, 36 months,14.07,338.7,3379.26,2347.44,1031.82,0.0,Debt consolidation,debt_consolidation,Technician,10+ years,MORTGAGE,33800.0,Source Verified,0.0,0.0,1995-02-01,0.0,,47.0,12.0,1.0,6301,48.5,0.0,27182.0,20.0,13000.0,15.2,C,C3
Fully Paid,6,30000,2016-07-01, 36 months,12.79,1007.79,34871.2208130025,30000.0,4871.22,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,71000.0,Verified,0.0,0.0,1995-09-01,0.0,71.0,,9.0,0.0,25000,83.9,0.0,185647.0,17.0,29800.0,30.87,C,C1
Fully Paid,6,27350,2017-03-01, 60 months,11.49,601.37,28584.233411039,27350.0,1234.23,0.0,Home improvement,home_improvement,CFO,10+ years,MORTGAGE,116000.0,Not Verified,0.0,0.0,2005-02-01,0.0,78.0,,13.0,0.0,4361,10.3,0.0,219475.0,29.0,42400.0,10.11,B,B5
Current,5,19500,2018-09-01, 60 months,16.91,483.69,2427.61,1074.37,1353.24,0.0,Other,other,Production operator,10+ years,OWN,39686.0,Not Verified,0.0,0.0,1999-02-01,1.0,,,8.0,0.0,13375,46.3,0.0,22049.0,17.0,28900.0,22.41,C,C5
Current,5,6000,2017-12-01, 36 months,9.44,192.03,2685.27,2134.63,550.64,0.0,Debt consolidation,debt_consolidation,Insurance Sales Agent,7 years,OWN,77000.0,Not Verified,0.0,0.0,2006-04-01,2.0,56.0,77.0,5.0,1.0,3096,19.7,0.0,40543.0,19.0,15700.0,12.34,B,B1
Current,5,13000,2018-06-01, 36 months,20.39,485.72,3917.41,2243.2,1649.92,24.29,Major purchase,major_purchase,Assistant Manager,3 years,RENT,40000.0,Not Verified,0.0,0.0,2004-08-01,0.0,,,6.0,0.0,4394,47.8,0.0,32455.0,18.0,9200.0,25.68,D,D4
Charged Off,0,40000,2016-08-01, 36 months,12.79,1343.72,16184.64,8617.38,3447.68,0.0,Debt consolidation,debt_consolidation,carpenter,10+ years,MORTGAGE,120000.0,Source Verified,1.0,3.0,1998-06-01,0.0,2.0,,12.0,0.0,17478,46.2,0.0,652490.0,23.0,37800.0,13.12,C,C1
Charged Off,0,16000,2017-03-01, 36 months,22.74,617.19,8772.59,4914.68,3827.05,30.86,Debt consolidation,debt_consolidation,Senior Accountant,3 years,MORTGAGE,75000.0,Source Verified,0.0,0.0,1995-10-01,3.0,34.0,65.0,34.0,1.0,16733,51.6,0.0,34475.0,55.0,32400.0,21.87,E,E1
Current,5,25000,2018-01-01, 60 months,18.06,635.66,8288.67,3694.31,4594.36,0.0,Debt consolidation,debt_consolidation,Architect,6 years,RENT,85000.0,Not Verified,0.0,0.0,2000-08-01,1.0,,,9.0,0.0,10930,20.9,0.0,70777.0,24.0,52400.0,27.05,D,D2
Fully Paid,6,12000,2017-03-01, 36 months,18.99,439.82,12832.8817420232,12000.0,832.88,0.0,Debt consolidation,debt_consolidation,Personal Banker,4 years,RENT,36400.0,Verified,0.0,1.0,2007-03-01,0.0,9.0,,9.0,0.0,3363,23.7,0.0,22573.0,13.0,14200.0,22.09,D,D3
Fully Paid,6,7000,2016-03-01, 36 months,7.89,219.0,7517.8072013235,7000.0,517.81,0.0,Debt consolidation,debt_consolidation,Bartender,3 years,RENT,50000.0,Not Verified,0.0,0.0,2006-10-01,1.0,,,6.0,0.0,1593,17.7,0.0,5196.0,10.0,9000.0,7.01,A,A5
Charged Off,0,14075,2016-07-01, 36 months,13.99,480.99,4307.04,2985.06,1321.98,0.0,Credit card refinancing,credit_card,,,OWN,40000.0,Verified,0.0,0.0,1973-08-01,0.0,,63.0,12.0,1.0,15466,85.0,0.0,28075.0,38.0,18200.0,28.44,C,C3
Fully Paid,6,2000,2016-07-01, 36 months,19.99,74.32,2334.7160048555997,2000.0,334.72,0.0,Debt consolidation,debt_consolidation,Night baker,< 1 year,RENT,24000.0,Source Verified,0.0,0.0,2013-04-01,0.0,,,3.0,0.0,749,93.6,0.0,17148.0,4.0,800.0,19.8,D,D4
Current,5,8000,2018-03-01, 36 months,17.47,287.1,3150.34,2018.61,1131.73,0.0,Debt consolidation,debt_consolidation,Customer service representative ,3 years,RENT,57000.0,Not Verified,0.0,0.0,2007-09-01,1.0,61.0,,5.0,0.0,836,29.9,0.0,69104.0,12.0,2800.0,9.39,D,D1
Current,5,22000,2017-08-01, 36 months,9.93,709.16,12760.58,10185.73,2574.85,0.0,Credit card refinancing,credit_card,RN,2 years,MORTGAGE,70000.0,Source Verified,0.0,0.0,2008-11-01,0.0,,,17.0,0.0,24834,67.5,0.0,158499.0,26.0,36800.0,14.97,B,B2
Current,5,37200,2016-08-01, 60 months,8.99,772.04,23142.62,16526.6,6616.02,0.0,Credit card refinancing,credit_card,Admin Supervisor,10+ years,MORTGAGE,110000.0,Source Verified,0.0,0.0,1986-03-01,0.0,31.0,,15.0,0.0,27311,44.2,0.0,317879.0,29.0,61800.0,13.29,B,B1
Current,5,13000,2018-09-01, 60 months,13.56,299.53,1487.86,780.59,707.27,0.0,Debt consolidation,debt_consolidation,Accountant,10+ years,MORTGAGE,60000.0,Verified,0.0,2.0,2000-05-01,0.0,4.0,,18.0,0.0,9741,17.0,0.0,207143.0,44.0,57300.0,12.1,C,C1
Current,5,30000,2017-12-01, 60 months,18.06,762.79,10799.46,4811.15,5988.31,0.0,Other,other,Corvette Mechanic,10+ years,MORTGAGE,40000.0,Source Verified,0.0,0.0,2003-08-01,0.0,67.0,67.0,9.0,1.0,9232,68.4,0.0,110886.0,14.0,13500.0,27.21,D,D2
Fully Paid,6,9000,2017-05-01, 36 months,5.32,271.04,9286.6192793096,9000.0,286.62,0.0,Car financing,car,Artist ,10+ years,RENT,75000.0,Not Verified,0.0,0.0,2004-06-01,2.0,,,4.0,0.0,707,2.3,0.0,2422.0,15.0,30600.0,5.79,A,A1
Current,5,15275,2016-02-01, 36 months,16.29,539.22,19411.23,15265.81,4118.46,26.96,Debt consolidation,debt_consolidation,President,3 years,RENT,75000.0,Source Verified,0.0,0.0,2000-03-01,2.0,,,16.0,0.0,32050,78.0,0.0,372734.0,27.0,41100.0,32.66,D,D1
Current,5,8400,2017-12-01, 36 months,7.35,260.72,3646.65,3049.33,597.32,0.0,Debt consolidation,debt_consolidation,Management Analyst,< 1 year,RENT,65124.8,Not Verified,0.0,0.0,2009-08-01,0.0,,,5.0,0.0,5942,41.0,0.0,14767.0,9.0,14500.0,11.02,A,A4
Current,5,12000,2018-03-01, 60 months,26.77,364.78,3976.3,1195.35,2780.95,0.0,Debt consolidation,debt_consolidation,Landscape tech,4 years,MORTGAGE,30000.0,Verified,0.0,0.0,2015-01-01,0.0,36.0,,3.0,0.0,900,25.7,0.0,102911.0,6.0,3500.0,2.96,E,E5
Current,5,12250,2017-08-01, 36 months,13.59,416.25,7483.25,5506.52,1976.73,0.0,Credit card refinancing,credit_card,Store Manager,7 years,RENT,85000.0,Source Verified,0.0,0.0,2007-09-01,1.0,,,9.0,0.0,13647,44.9,125.0,58885.0,23.0,30400.0,22.42,C,C2
Fully Paid,6,10000,2017-05-01, 36 months,10.49,324.98,11307.8019918723,10000.0,1307.8,0.0,Home improvement,home_improvement,Supervisor ,10+ years,RENT,62500.0,Not Verified,0.0,0.0,2004-09-01,2.0,,,12.0,0.0,16855,42.1,0.0,25827.0,20.0,40000.0,13.5,B,B2
